COUNTRY,COUNTRY id,region,1) Dimension: Civic Engagement,1.1,1.1.1,1.1.2,1.1.3,1.2,1.2.1,1.2.2,1.2.3,1.3,1.3.1,1.4,1.4.1,1.4.2,1.4.3,1.5,1.5.1,1.5.2,1.5.3,1.6,1.6.1,2) Dimension: Level of organisation,2.1,2.1.1,2.2,2.2.1,2.3,2.3.1,2.3.2,2.4,2.4.1,2.5,2.5.1,2.5.2,2.6,2.6.1,3) Dimension: Practice of Values,3.1,3.1.1,3.2,3.2.1,3.2.2,3.2.3,3.2.4,3.3,3.3.1,3.3.2,3.4,3.4.1,3.5,3.5.1,3.5.2,3.5.3,3.5.4,3.5.5,3.5.6,4) Dimension: Perception of Impact,4.1,4.1.1,4.1.2,4.2,4.2.1,4.2.2,4.3,4.3.1,4.3.2,4.3.3,4.4,4.4.1,4.4.2,4.5,4.5.1,4.5.2,4.6,4.6.1,4.6.2,4.7,4.7.1,4.7.2,4.7.3,4.7.4,5) Contextual Dimension: Environment,5.1,5.1.1,5.1.2,5.1.3,5.1.4,5.2,5.2.1,5.2.2,5.2.3,5.2.4,5.2.5,5.3,5.3.1,5.3.2,5.3.3
Italy,IT,2,48.5,31.7,29.9,20.6,44.6,41.4,23.8,30.3,70,79.5,79.5,30.1,19.3,10.3,60.8,33,19,26.2,53.8,75.2,75.2,63.2,83.3,83.3,71.1,71.1,82.5,85.4,79.5,20.5,20.5,80.9,65.1,96.6,40.8,40.8,45.8,82.2,82.2,26.6,30.7,20.9,33.3,21.3,54.8,47.2,62.4,28.1,28.1,37.5,12.3,65.4,3.4,25,60.8,58,42.1,39,29.1,48.8,58.8,60.2,57.3,41.8,24.1,68.9,32.3,43.4,36.7,50,61.2,72.4,50,31,28.6,33.3,19.6,21,11.7,2.6,43.1,72.4,70.5,99.5,48,64,,79.5,95,87.5,100,58.2,56.6,67.1,29.2,81,91.1
Japan,JP,4,44.5,27.7,26.6,13.4,43.1,33.9,17.1,26.2,58.4,78.6,78.6,22,10.8,5.7,49.5,18.4,20.3,20.5,14.4,86.3,86.3,62.3,95.3,95.3,35.4,35.4,82.9,81.7,84,44,44,90,83.5,96.5,26.4,26.4,41.3,55.4,55.4,28.4,37.7,5.5,22.2,48.1,61,42.9,79,11.8,11.8,49.8,17.8,92.1,2.8,27.8,73.1,85,57.2,72.8,60.3,85.3,70.4,75.6,65.3,60.7,77.6,40,64.5,44.5,14.8,74.1,76.9,96,57.7,54.9,32,77.8,20,18,,25.2,16.8,76,82.4,99.2,73,75.1,,79.8,92.5,85.4,83.3,61.4,76.4,65.8,39.1,,92.6
Jordan,JO,5,36.8,9.3,6.6,,11.9,32.6,11.4,,53.8,85.6,85.6,6.5,5.3,,7.6,27.1,15.6,,38.5,59.8,59.8,55.3,95.8,95.8,80.2,80.2,59.4,66.1,52.6,9.1,9.1,78.8,79.3,78.2,8.3,8.3,57.2,84.9,84.9,40.7,30.6,49.5,29.9,52.9,72.9,48.3,97.5,36.4,36.4,51.2,40.8,58.1,10.8,61,69.6,67,49,45.7,49.6,41.7,63.3,59.1,67.6,33.8,28.6,18.6,54.2,51.5,54,49,75.6,79.1,72,52,59.1,44.9,21.3,12.3,2.1,3,67.8,55.4,64.8,97.3,51,61.2,49.7,51.4,32.5,47.9,41.7,79.5,55.4,49.9,31.3,27.5,91
Kazakhstan,KZ,6,47.2,28.1,36.5,19.6,28.2,53.7,38.4,49.1,73.5,70.6,70.6,18.2,15.3,16.2,23.2,39.9,43.4,53.4,23,72.9,72.9,48.4,73,73,50.9,50.9,70.1,68.7,71.5,14.4,14.4,77.7,68.6,86.7,4.4,4.4,47.4,65.3,65.3,35.9,51.9,25.5,35.6,30.6,55.8,52.6,59,21.5,21.5,58.4,58.9,56.3,5,73.6,85.2,71.5,40.9,50.5,47.4,53.6,50.4,42.5,58.2,36.6,33.8,39.2,36.7,52.7,47.4,57.9,53.3,66.7,40,30.1,20.6,39.5,12.8,7.6,18.7,2.3,22.7,46.7,46.5,98,22,66.1,0,39.7,20,37.5,33.3,70.9,36.7,53.9,18.5,59,84.3
Kosovo,KOS,2,44,21.7,15.5,14,35.5,40.5,26.4,30.8,64.3,80.9,80.9,21.6,12.9,15.3,36.7,32.5,26.3,28.3,42.9,67.1,67.1,70.7,89.9,89.9,69.7,69.7,88.4,89.9,86.9,18.3,18.3,87.4,83.8,90.9,,,59.4,61.6,61.6,42.3,55.6,9.9,35.7,68,74.2,73.7,74.7,57.7,57.7,61.4,57.1,49.5,26.3,88.9,67.5,78.8,32.9,26.8,21.2,32.3,47.6,43.8,51.4,46.8,21.2,59.6,59.7,23.8,25,22.5,41.5,40.5,42.5,31.7,30.8,32.5,12,2.7,0,0,45.4,51.3,,,,,,46.6,27.5,35.4,50,77.3,43,56.1,9.1,62.6,96.5
Liberia,LR,3,56,68.4,69.1,70.4,65.7,53.6,37.7,42.9,80.3,85.2,85.2,33,35.6,26.1,37.4,31.6,20.1,38.1,36.7,63.9,63.9,50.5,86.9,86.9,58.3,58.3,68.5,65.3,71.6,28.3,28.3,58.6,69.7,47.4,2.7,2.7,54.1,53,53,48.1,72.3,42.3,35.1,42.6,51.3,66.7,35.9,55.6,55.6,62.3,56.3,74.7,18.6,74.4,67,83,55.2,62.7,67.4,58,68.8,72.9,64.7,51.7,54.4,42.3,58.3,37.7,38.3,37,68.6,72.5,64.7,75,81.3,68.6,21.9,1.6,7.3,9.1,69.7,52.7,44.4,64.8,24,,,57.7,62.5,54.2,66.7,78.7,26.4,55.9,27.9,51.6,88.2
Macedonia,MK,3,45,25.3,14.9,17.5,43.5,27.1,26.3,2.7,52.3,77.5,77.5,30.8,25.4,17.6,49.4,22.1,21,2.2,43,87.2,87.2,59.8,88.1,88.1,67.5,67.5,92.5,91.3,93.7,21,21,83.7,72.4,95,6.2,6.2,57.7,76.4,76.4,37.3,47.8,2.2,55.4,43.8,81.9,73.1,90.6,40.5,40.5,52.6,20,55.1,27.5,70.6,89.9,,45.7,54.1,29.2,78.9,42.9,33.8,51.9,51.6,29.4,78.2,47.2,45.8,20.8,70.8,60.4,70.8,50,55.5,45.8,65.2,9.4,6.8,0,0,30.9,56.5,61,96,36,61,50.8,59,60,60.4,58.3,72.1,44.2,49.6,10.4,51.2,87.3
Madagascar,MG,,27,44.2,36.4,43.1,53.1,36,17.8,25.9,64.4,85.5,85.5,16.3,7.4,9.5,31.9,22.7,15.2,33.9,18.9,88.7,88.7,51.2,55.6,55.6,61,61,61.4,62.8,59.9,18.7,18.7,59.4,67.4,51.4,,,50.7,78,78,37.3,63.1,13.2,34.4,38.6,45.1,55.7,34.4,39.2,39.2,54.1,55.4,54.7,25.3,61.4,72.4,55.3,43.4,41,37.3,44.6,58.9,53.9,64,40.7,28.7,39.7,53.6,47.6,45.2,50,50.6,52.4,48.8,41.9,51.2,32.6,23.4,0.4,7.1,1.8,84.4,55.4,58.9,76,26,59.7,74.1,48.3,17.5,52.8,58.3,80,32.9,58.9,29.9,55.2,91.6
Malta,,,26.4,13.7,16.2,11.1,,10,10.3,9.6,,42.3,,14.5,4.3,1.9,37.2,26.5,18.8,21.4,39.2,51.8,51.8,51.8,92.1,92.1,77.5,77.5,58.6,67.1,50,5.6,5.6,68.1,47.1,89,8.8,8.8,44.2,70.8,70.8,17.1,25,17.1,12.5,13.6,51.9,39.3,64.4,19.1,19.1,62.2,38.9,82.7,31,70.4,73.8,76.5,58.8,50.3,53.4,47.2,83.7,81.1,86.3,52.7,57.6,46.4,54.1,61.4,72.7,50,84.3,89.7,78.8,52.1,39.4,64.7,27,20.7,9.1,23.3,55.1,77.5,78.8,99.6,58,,,91,97.5,95.8,100,85.7,76,62.8,21.7,71,95.8
Mexico,MX,1,44.9,33.8,24.8,24.5,52.2,35.7,19.5,24.1,63.4,86.9,86.9,17.7,9.2,11.6,32.3,14.6,9,6.5,28.4,80.7,80.7,46.2,72,72,41.1,41.1,63.9,69.6,58.1,12.4,12.4,67.4,45.3,89.4,20.3,20.3,50.6,44.5,44.5,45.1,53.6,4,64.9,58,64.7,71.2,58.1,50.4,50.4,48.5,12.9,66.2,8.1,71.3,59,73.3,46.3,71.7,73.1,70.2,60.8,55.1,66.4,34.2,28.9,42.2,31.5,34.1,59.6,8.5,58.9,77.4,40.4,46.8,65.2,28.3,17.5,4.2,3.3,16.6,45.8,65.7,66.7,94.4,36,53.9,82.3,67.6,80,66.7,75,63.8,52.6,62.8,22.9,87,78.6
